danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.556	0.92	8	-4.606	1	0.0367	0.00271	2.1e-4	0.117	0.771	121.138	audio_features	3mwvKOyMmG77zZRunnxp9E	spotify:track:3mwvKOyMmG77zZRunnxp9E	https://api.spotify.com/v1/tracks/3mwvKOyMmG77zZRunnxp9E	https://api.spotify.com/v1/audio-analysis/3mwvKOyMmG77zZRunnxp9E	159227	4
0.376	0.718	7	-6.7	1	0.246	0.0996	0.00332	0.633	0.615	91.115	audio_features	4BnrGx9tWNF8aiXl1UhDBa	spotify:track:4BnrGx9tWNF8aiXl1UhDBa	https://api.spotify.com/v1/tracks/4BnrGx9tWNF8aiXl1UhDBa	https://api.spotify.com/v1/audio-analysis/4BnrGx9tWNF8aiXl1UhDBa	258587	4
0.666	0.81	1	-5.394	1	0.194	0.286	0	0.445	0.682	97.013	audio_features	0XoPMyUMfgEw8EuZng6qpO	spotify:track:0XoPMyUMfgEw8EuZng6qpO	https://api.spotify.com/v1/tracks/0XoPMyUMfgEw8EuZng6qpO	https://api.spotify.com/v1/audio-analysis/0XoPMyUMfgEw8EuZng6qpO	200412	4
0.58	0.52	9	-5.999	1	0.421	0.0042	0.827	0.0904	0.0582	159.728	audio_features	1JGGsCZ9zhgPJIsPy0pwt9	spotify:track:1JGGsCZ9zhgPJIsPy0pwt9	https://api.spotify.com/v1/tracks/1JGGsCZ9zhgPJIsPy0pwt9	https://api.spotify.com/v1/audio-analysis/1JGGsCZ9zhgPJIsPy0pwt9	171720	4
0.684	0.889	8	-4.555	0	0.102	0.0307	2.57e-6	0.775	0.582	112.005	audio_features	1KEdF3FNF9bKRCxN3KUMbx	spotify:track:1KEdF3FNF9bKRCxN3KUMbx	https://api.spotify.com/v1/tracks/1KEdF3FNF9bKRCxN3KUMbx	https://api.spotify.com/v1/audio-analysis/1KEdF3FNF9bKRCxN3KUMbx	210026	4
0.637	0.568	1	-11.277	1	0.587	0.322	0	0.16	0.031	77.742	audio_features	6yqbZjt1ipWNGSYja1jOms	spotify:track:6yqbZjt1ipWNGSYja1jOms	https://api.spotify.com/v1/tracks/6yqbZjt1ipWNGSYja1jOms	https://api.spotify.com/v1/audio-analysis/6yqbZjt1ipWNGSYja1jOms	122697	3
0.829	0.886	8	-1.746	1	0.112	0.259	0	0.0559	0.777	115.056	audio_features	5ygDXis42ncn6kYG14lEVG	spotify:track:5ygDXis42ncn6kYG14lEVG	https://api.spotify.com/v1/tracks/5ygDXis42ncn6kYG14lEVG	https://api.spotify.com/v1/audio-analysis/5ygDXis42ncn6kYG14lEVG	80927	4
0.595	0.561	0	-5.719	0	0.0694	0.279	0	0.32	0.63	120.021	audio_features	0cm53Jz1z1AA7NrfN7VAk6	spotify:track:0cm53Jz1z1AA7NrfN7VAk6	https://api.spotify.com/v1/tracks/0cm53Jz1z1AA7NrfN7VAk6	https://api.spotify.com/v1/audio-analysis/0cm53Jz1z1AA7NrfN7VAk6	274104	4
0.493	0.504	9	-5.215	1	0.0455	0.305	1.94e-6	0.306	0.125	100.139	audio_features	6iocMmAdCY3WQj2YHrbZZt	spotify:track:6iocMmAdCY3WQj2YHrbZZt	https://api.spotify.com/v1/tracks/6iocMmAdCY3WQj2YHrbZZt	https://api.spotify.com/v1/audio-analysis/6iocMmAdCY3WQj2YHrbZZt	210834	5
0.714	0.575	2	-4.67	1	0.0387	0.653	0.00267	0.0956	0.43	118.028	audio_features	5PHjH3xVM6kY8Eq8v9YGuL	spotify:track:5PHjH3xVM6kY8Eq8v9YGuL	https://api.spotify.com/v1/tracks/5PHjH3xVM6kY8Eq8v9YGuL	https://api.spotify.com/v1/audio-analysis/5PHjH3xVM6kY8Eq8v9YGuL	152295	4
0.483	0.748	11	-1.154	0	0.06	0.355	0	0.16	0.7	169.901	audio_features	38hAF6Gt5nwCeBRSPh49pM	spotify:track:38hAF6Gt5nwCeBRSPh49pM	https://api.spotify.com/v1/tracks/38hAF6Gt5nwCeBRSPh49pM	https://api.spotify.com/v1/audio-analysis/38hAF6Gt5nwCeBRSPh49pM	64204	4
0.537	0.445	9	-10.266	1	0.311	0.0796	0	0.214	0.141	88.912	audio_features	39sBfuwdqu18LGirpL7jK2	spotify:track:39sBfuwdqu18LGirpL7jK2	https://api.spotify.com/v1/tracks/39sBfuwdqu18LGirpL7jK2	https://api.spotify.com/v1/audio-analysis/39sBfuwdqu18LGirpL7jK2	63598	4
0.68	0.441	7	-8.385	1	0.466	0.298	2.32e-6	0.119	0.152	125.924	audio_features	6UQBF5uP5wr6hNXlwzprjS	spotify:track:6UQBF5uP5wr6hNXlwzprjS	https://api.spotify.com/v1/tracks/6UQBF5uP5wr6hNXlwzprjS	https://api.spotify.com/v1/audio-analysis/6UQBF5uP5wr6hNXlwzprjS	75324	5
0.58	0.405	2	-10.951	0	0.223	0.0773	0	0.102	0.118	117.966	audio_features	4TuNxNHXZ6P0yS3fLIr9Hc	spotify:track:4TuNxNHXZ6P0yS3fLIr9Hc	https://api.spotify.com/v1/tracks/4TuNxNHXZ6P0yS3fLIr9Hc	https://api.spotify.com/v1/audio-analysis/4TuNxNHXZ6P0yS3fLIr9Hc	110054	5
0.549	0.791	6	-3.367	0	0.373	0.79	1.47e-4	0.34	0.563	74.07	audio_features	5BM4x6TnwrFpeJYsiosgZT	spotify:track:5BM4x6TnwrFpeJYsiosgZT	https://api.spotify.com/v1/tracks/5BM4x6TnwrFpeJYsiosgZT	https://api.spotify.com/v1/audio-analysis/5BM4x6TnwrFpeJYsiosgZT	187408	3
0.667	0.939	2	-8.507	1	0.0366	0.01	0.909	0.0928	0.838	130.004	audio_features	2pMsuUABN8UW1BcuZewYou	spotify:track:2pMsuUABN8UW1BcuZewYou	https://api.spotify.com/v1/tracks/2pMsuUABN8UW1BcuZewYou	https://api.spotify.com/v1/audio-analysis/2pMsuUABN8UW1BcuZewYou	240861	4
0.702	0.721	5	-3.024	1	0.13	0.0209	0	0.0571	0.783	106.029	audio_features	76tzDKhVle9QKpWx0apgCm	spotify:track:76tzDKhVle9QKpWx0apgCm	https://api.spotify.com/v1/tracks/76tzDKhVle9QKpWx0apgCm	https://api.spotify.com/v1/audio-analysis/76tzDKhVle9QKpWx0apgCm	188526	4
0.54	0.901	6	-1.495	0	0.246	0.00531	0	0.308	0.572	87.569	audio_features	2RiJQJfsyXFPqB7Q7HBZIc	spotify:track:2RiJQJfsyXFPqB7Q7HBZIc	https://api.spotify.com/v1/tracks/2RiJQJfsyXFPqB7Q7HBZIc	https://api.spotify.com/v1/audio-analysis/2RiJQJfsyXFPqB7Q7HBZIc	208980	4
0.706	0.635	7	-6.051	1	0.19	0.603	0	0.73	0.5	140.136	audio_features	4Atjqjr9t9zrpM35y1kUxB	spotify:track:4Atjqjr9t9zrpM35y1kUxB	https://api.spotify.com/v1/tracks/4Atjqjr9t9zrpM35y1kUxB	https://api.spotify.com/v1/audio-analysis/4Atjqjr9t9zrpM35y1kUxB	221753	4
0.634	0.391	8	-11.645	1	0.413	0.0964	0	0.121	0.45	74.434	audio_features	2P6VHEHgkqabbnZ9wq2uyy	spotify:track:2P6VHEHgkqabbnZ9wq2uyy	https://api.spotify.com/v1/tracks/2P6VHEHgkqabbnZ9wq2uyy	https://api.spotify.com/v1/audio-analysis/2P6VHEHgkqabbnZ9wq2uyy	99631	3
