song_group	added_at	is_local	primary_color	added_by.href	added_by.id	added_by.type	added_by.uri	added_by.external_urls.spotify	track.artists	track.available_markets	track.disc_number	track.duration_ms	track.episode	track.explicit	track.href	track.id	track.is_local	track.name	track.popularity	track.preview_url	track.track	track.track_number	track.type	track.uri	track.album.album_type	track.album.artists	track.album.available_markets	track.album.href	track.album.id	track.album.images	track.album.name	track.album.release_date	track.album.release_date_precision	track.album.total_tracks	track.album.type	track.album.uri	track.album.external_urls.spotify	track.external_ids.isrc	track.external_urls.spotify	video_thumbnail.url	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	uri	track_href	analysis_url	duration_ms	time_signature	id	value	year	release_date
unpopular	2013-05-06T16:17:34Z	FALSE	NA	https://api.spotify.com/v1/users/herbst01	herbst01	user	spotify:user:herbst01	https://open.spotify.com/user/herbst01			1	258044	FALSE	FALSE	https://api.spotify.com/v1/tracks/0lXxr3fAUPdMi8ui58cwV1	0lXxr3fAUPdMi8ui58cwV1	FALSE	Get Lucky	0	NA	TRUE	1	track	spotify:track:0lXxr3fAUPdMi8ui58cwV1	single			https://api.spotify.com/v1/albums/0y3RkbeeTslqkiVO48huWs	0y3RkbeeTslqkiVO48huWs		Get Lucky	2013-04-26	day	2	album	spotify:album:0y3RkbeeTslqkiVO48huWs	https://open.spotify.com/album/0y3RkbeeTslqkiVO48huWs	DEZ651318862	https://open.spotify.com/track/0lXxr3fAUPdMi8ui58cwV1	NA	0.781	0.684	6	-9.232	0	0.0465	0.184	0.0956	0.0909	0.781	115.987	audio_features	spotify:track:0lXxr3fAUPdMi8ui58cwV1	https://api.spotify.com/v1/tracks/0lXxr3fAUPdMi8ui58cwV1	https://api.spotify.com/v1/audio-analysis/0lXxr3fAUPdMi8ui58cwV1	258045	4	NA	NA	NA	NA
unpopular	2013-10-15T16:11:41Z	FALSE	NA	https://api.spotify.com/v1/users/herbst01	herbst01	user	spotify:user:herbst01	https://open.spotify.com/user/herbst01			1	251115	FALSE	FALSE	https://api.spotify.com/v1/tracks/2HkorKzDxzxXUKx9kUuTNM	2HkorKzDxzxXUKx9kUuTNM	FALSE	Wake Me Up - Tribute to Avicii and Aloe Blacc	6	https://p.scdn.co/mp3-preview/ced0f9f5d7723e36db5328d5d4b0b090c7f86c5d?cid=edcc2c4666f64421bf98439ad7daa85f	TRUE	1	track	spotify:track:2HkorKzDxzxXUKx9kUuTNM	single			https://api.spotify.com/v1/albums/3bB8wC5XMqM8MFSHNBvZc6	3bB8wC5XMqM8MFSHNBvZc6		Wake Me Up - Tribute to Avicii and Aloe Blacc	2000	year	2	album	spotify:album:3bB8wC5XMqM8MFSHNBvZc6	https://open.spotify.com/album/3bB8wC5XMqM8MFSHNBvZc6	USVEI1213501	https://open.spotify.com/track/2HkorKzDxzxXUKx9kUuTNM	NA	0.565	0.69	11	-7.543	0	0.0364	5.74e-4	3.85e-6	0.167	0.528	124.039	audio_features	spotify:track:2HkorKzDxzxXUKx9kUuTNM	https://api.spotify.com/v1/tracks/2HkorKzDxzxXUKx9kUuTNM	https://api.spotify.com/v1/audio-analysis/2HkorKzDxzxXUKx9kUuTNM	251115	4	NA	NA	NA	NA
unpopular	2015-02-04T18:57:38Z	FALSE	NA	https://api.spotify.com/v1/users/herbst01	herbst01	user	spotify:user:herbst01	https://open.spotify.com/user/herbst01			1	227022	FALSE	FALSE	https://api.spotify.com/v1/tracks/4rc5NQpIiPXPuMaq6W20KB	4rc5NQpIiPXPuMaq6W20KB	FALSE	Shake It Off	0	NA	TRUE	1	track	spotify:track:4rc5NQpIiPXPuMaq6W20KB	album			https://api.spotify.com/v1/albums/5KwBRIXgrsAiIEEIKjXC8U	5KwBRIXgrsAiIEEIKjXC8U		Shake It Of: Tribute to Taylor Swift	2014-09-28	day	12	album	spotify:album:5KwBRIXgrsAiIEEIKjXC8U	https://open.spotify.com/album/5KwBRIXgrsAiIEEIKjXC8U	BET231401871	https://open.spotify.com/track/4rc5NQpIiPXPuMaq6W20KB	NA	0.789	0.473	7	-10.816	1	0.327	0.232	0	0.247	0.791	159.926	audio_features	spotify:track:4rc5NQpIiPXPuMaq6W20KB	https://api.spotify.com/v1/tracks/4rc5NQpIiPXPuMaq6W20KB	https://api.spotify.com/v1/audio-analysis/4rc5NQpIiPXPuMaq6W20KB	227023	4	NA	NA	NA	NA
unpopular	2016-04-18T12:59:40Z	FALSE	NA	https://api.spotify.com/v1/users/herbst01	herbst01	user	spotify:user:herbst01	https://open.spotify.com/user/herbst01			1	264202	FALSE	FALSE	https://api.spotify.com/v1/tracks/4V1Ncl3b0K9S2CXSoX4QcH	4V1Ncl3b0K9S2CXSoX4QcH	FALSE	Adele - Hello	0	NA	TRUE	2	track	spotify:track:4V1Ncl3b0K9S2CXSoX4QcH	compilation			https://api.spotify.com/v1/albums/6XZw1Aosf3M7QeUoBawkNh	6XZw1Aosf3M7QeUoBawkNh		Tuyen Tap Nhac Viet Moi Nhat	2016-03-07	day	18	album	spotify:album:6XZw1Aosf3M7QeUoBawkNh	https://open.spotify.com/album/6XZw1Aosf3M7QeUoBawkNh	VNR011028851	https://open.spotify.com/track/4V1Ncl3b0K9S2CXSoX4QcH	NA	0.412	0.165	8	-12.525	1	0.0405	0.882	0	0.0971	0.224	166.287	audio_features	spotify:track:4V1Ncl3b0K9S2CXSoX4QcH	https://api.spotify.com/v1/tracks/4V1Ncl3b0K9S2CXSoX4QcH	https://api.spotify.com/v1/audio-analysis/4V1Ncl3b0K9S2CXSoX4QcH	264202	4	NA	NA	NA	NA
unpopular	2015-05-11T02:11:32Z	FALSE	NA	https://api.spotify.com/v1/users/herbst01	herbst01	user	spotify:user:herbst01	https://open.spotify.com/user/herbst01			1	257050	FALSE	FALSE	https://api.spotify.com/v1/tracks/6SbBaqIldJdx7RwxsmJ4iY	6SbBaqIldJdx7RwxsmJ4iY	FALSE	If were are a boy ( Made famous by Beyonce )	2	https://p.scdn.co/mp3-preview/a4e92d84fb42c5b3b169119d561cddac54a68545?cid=edcc2c4666f64421bf98439ad7daa85f	TRUE	3	track	spotify:track:6SbBaqIldJdx7RwxsmJ4iY	album			https://api.spotify.com/v1/albums/5C4KmtQlsO1sexb7n3jNGw	5C4KmtQlsO1sexb7n3jNGw		Beyonce Chill Out	2010-04-20	day	14	album	spotify:album:5C4KmtQlsO1sexb7n3jNGw	https://open.spotify.com/album/5C4KmtQlsO1sexb7n3jNGw	ARG991004720	https://open.spotify.com/track/6SbBaqIldJdx7RwxsmJ4iY	NA	0.686	0.502	6	-8.086	1	0.0829	0.533	0.0349	0.295	0.481	170.06	audio_features	spotify:track:6SbBaqIldJdx7RwxsmJ4iY	https://api.spotify.com/v1/tracks/6SbBaqIldJdx7RwxsmJ4iY	https://api.spotify.com/v1/audio-analysis/6SbBaqIldJdx7RwxsmJ4iY	257051	4	NA	NA	NA	NA
unpopular	2015-08-24T01:04:50Z	FALSE	NA	https://api.spotify.com/v1/users/herbst01	herbst01	user	spotify:user:herbst01	https://open.spotify.com/user/herbst01			1	317564	FALSE	FALSE	https://api.spotify.com/v1/tracks/5l0i4q4mgSSvAWgDesugNj	5l0i4q4mgSSvAWgDesugNj	FALSE	Last Christmas - ADair L.A. Remix	0	NA	TRUE	1	track	spotify:track:5l0i4q4mgSSvAWgDesugNj	single			https://api.spotify.com/v1/albums/6mPGiHMvFkFmiPQ1SrtPuw	6mPGiHMvFkFmiPQ1SrtPuw		Last Christmas (ADair L.A. Remix)	2012-12-07	day	1	album	spotify:album:6mPGiHMvFkFmiPQ1SrtPuw	https://open.spotify.com/album/6mPGiHMvFkFmiPQ1SrtPuw	DEY301200432	https://open.spotify.com/track/5l0i4q4mgSSvAWgDesugNj	NA	0.816	0.823	1	-3.854	1	0.0268	0.0223	5.03e-4	0.162	0.96	106.993	audio_features	spotify:track:5l0i4q4mgSSvAWgDesugNj	https://api.spotify.com/v1/tracks/5l0i4q4mgSSvAWgDesugNj	https://api.spotify.com/v1/audio-analysis/5l0i4q4mgSSvAWgDesugNj	317565	4	NA	NA	NA	NA
unpopular	2015-02-04T18:56:56Z	FALSE	NA	https://api.spotify.com/v1/users/herbst01	herbst01	user	spotify:user:herbst01	https://open.spotify.com/user/herbst01			1	286874	FALSE	FALSE	https://api.spotify.com/v1/tracks/3f97PWW5h2GnaYI9PwpyTJ	3f97PWW5h2GnaYI9PwpyTJ	FALSE	Uptown Funk - Remix	0	NA	TRUE	1	track	spotify:track:3f97PWW5h2GnaYI9PwpyTJ	album			https://api.spotify.com/v1/albums/0VmT7VUmwFJoBb3cvPsc4Z	0VmT7VUmwFJoBb3cvPsc4Z		Top 20 Digital Radio Chart Vol.2 Best Hits Remixes	2015-01-28	day	20	album	spotify:album:0VmT7VUmwFJoBb3cvPsc4Z	https://open.spotify.com/album/0VmT7VUmwFJoBb3cvPsc4Z	ITS781500370	https://open.spotify.com/track/3f97PWW5h2GnaYI9PwpyTJ	NA	0.761	0.822	2	-3.958	1	0.16	0.00195	2.99e-5	0.15	0.441	127.992	audio_features	spotify:track:3f97PWW5h2GnaYI9PwpyTJ	https://api.spotify.com/v1/tracks/3f97PWW5h2GnaYI9PwpyTJ	https://api.spotify.com/v1/audio-analysis/3f97PWW5h2GnaYI9PwpyTJ	286875	4	NA	NA	NA	NA
unpopular	2013-10-15T16:09:21Z	FALSE	NA	https://api.spotify.com/v1/users/herbst01	herbst01	user	spotify:user:herbst01	https://open.spotify.com/user/herbst01			1	259779	FALSE	FALSE	https://api.spotify.com/v1/tracks/3CDtrvdvD6JlSaKMoTKSXB	3CDtrvdvD6JlSaKMoTKSXB	FALSE	Latch (Tribute Version)	0	https://p.scdn.co/mp3-preview/b28de4449d58a6e594d699cf916fd3e5775ba017?cid=edcc2c4666f64421bf98439ad7daa85f	TRUE	2	track	spotify:track:3CDtrvdvD6JlSaKMoTKSXB	single			https://api.spotify.com/v1/albums/05fCLHPpZO3SIt1CZK30tV	05fCLHPpZO3SIt1CZK30tV		Latch (Originally Performed By Disclosure & Sam Smith) [Karaoke Audio Version]	2012-11-15	day	2	album	spotify:album:05fCLHPpZO3SIt1CZK30tV	https://open.spotify.com/album/05fCLHPpZO3SIt1CZK30tV	USA561411531	https://open.spotify.com/track/3CDtrvdvD6JlSaKMoTKSXB	NA	0.483	0.569	10	-10.605	0	0.11	0.0514	0.103	0.0505	0.742	182.976	audio_features	spotify:track:3CDtrvdvD6JlSaKMoTKSXB	https://api.spotify.com/v1/tracks/3CDtrvdvD6JlSaKMoTKSXB	https://api.spotify.com/v1/audio-analysis/3CDtrvdvD6JlSaKMoTKSXB	259779	3	NA	NA	NA	NA
unpopular	2017-04-04T08:29:08Z	FALSE	NA	https://api.spotify.com/v1/users/herbst01	herbst01	user	spotify:user:herbst01	https://open.spotify.com/user/herbst01			1	217896	FALSE	FALSE	https://api.spotify.com/v1/tracks/7L7is7iKG623g69zSbrs6B	7L7is7iKG623g69zSbrs6B	FALSE	I Feel It Coming (Remix)	13	https://p.scdn.co/mp3-preview/057e86747b46bb418c6a960738169c5e88cd5368?cid=edcc2c4666f64421bf98439ad7daa85f	TRUE	1	track	spotify:track:7L7is7iKG623g69zSbrs6B	single			https://api.spotify.com/v1/albums/4PKZKozhPYRGFsW7LS1Cqd	4PKZKozhPYRGFsW7LS1Cqd		I Feel It Coming (Remix)	2016-11-24	day	1	album	spotify:album:4PKZKozhPYRGFsW7LS1Cqd	https://open.spotify.com/album/4PKZKozhPYRGFsW7LS1Cqd	TCACU1602103	https://open.spotify.com/track/7L7is7iKG623g69zSbrs6B	NA	0.568	0.846	6	-7.942	0	0.382	0.302	0	0.14	0.672	186.024	audio_features	spotify:track:7L7is7iKG623g69zSbrs6B	https://api.spotify.com/v1/tracks/7L7is7iKG623g69zSbrs6B	https://api.spotify.com/v1/audio-analysis/7L7is7iKG623g69zSbrs6B	217896	4	NA	NA	NA	NA
unpopular	2012-07-03T14:38:24Z	FALSE	NA	https://api.spotify.com/v1/users/		user	spotify:user:	https://open.spotify.com/user/			1	143180	FALSE	FALSE	https://api.spotify.com/v1/tracks/4INnjML0mIyc4TyQlFxIye	4INnjML0mIyc4TyQlFxIye	FALSE	Euphoria (Cover)	2	https://p.scdn.co/mp3-preview/facc32086628db5f101459336d0e5a2b2fbb7dc8?cid=edcc2c4666f64421bf98439ad7daa85f	TRUE	1	track	spotify:track:4INnjML0mIyc4TyQlFxIye	single			https://api.spotify.com/v1/albums/1NR4tnmGCfZHb7MrV0AWGn	1NR4tnmGCfZHb7MrV0AWGn		Euphoria (Cover)	2012-05-24	day	1	album	spotify:album:1NR4tnmGCfZHb7MrV0AWGn	https://open.spotify.com/album/1NR4tnmGCfZHb7MrV0AWGn	NO3231200002	https://open.spotify.com/track/4INnjML0mIyc4TyQlFxIye	NA	0.477	0.883	6	-9.105	0	0.111	0.00822	1.38e-5	0.317	0.203	131.918	audio_features	spotify:track:4INnjML0mIyc4TyQlFxIye	https://api.spotify.com/v1/tracks/4INnjML0mIyc4TyQlFxIye	https://api.spotify.com/v1/audio-analysis/4INnjML0mIyc4TyQlFxIye	143180	4	NA	NA	NA	NA
