danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.617	0.708	2	-4.54	1	0.0284	0.0681	0	0.123	0.467	96.996	audio_features	0iQJLCJyv6TTPUP4u4y8DJ	spotify:track:0iQJLCJyv6TTPUP4u4y8DJ	https://api.spotify.com/v1/tracks/0iQJLCJyv6TTPUP4u4y8DJ	https://api.spotify.com/v1/audio-analysis/0iQJLCJyv6TTPUP4u4y8DJ	182147	4
0.702	0.721	5	-3.024	1	0.13	0.0209	0	0.0571	0.783	106.029	audio_features	76tzDKhVle9QKpWx0apgCm	spotify:track:76tzDKhVle9QKpWx0apgCm	https://api.spotify.com/v1/tracks/76tzDKhVle9QKpWx0apgCm	https://api.spotify.com/v1/audio-analysis/76tzDKhVle9QKpWx0apgCm	188526	4
0.583	0.598	1	-11.966	1	0.17	0.00271	0	0.0534	0.157	120.002	audio_features	7rNwCrWh4mUl6XA2nxjV0T	spotify:track:7rNwCrWh4mUl6XA2nxjV0T	https://api.spotify.com/v1/tracks/7rNwCrWh4mUl6XA2nxjV0T	https://api.spotify.com/v1/audio-analysis/7rNwCrWh4mUl6XA2nxjV0T	221000	4
0.82	0.831	5	-4.856	0	0.0315	0.0962	0	0.181	0.945	110.048	audio_features	1czaCgWLWgqp0eRIZ0BcXh	spotify:track:1czaCgWLWgqp0eRIZ0BcXh	https://api.spotify.com/v1/tracks/1czaCgWLWgqp0eRIZ0BcXh	https://api.spotify.com/v1/audio-analysis/1czaCgWLWgqp0eRIZ0BcXh	210467	4
0.595	0.686	7	-11.574	1	0.363	0.121	2.86e-5	0.365	0.628	129.725	audio_features	6j0eNw25g1rvB0k8wE6D4l	spotify:track:6j0eNw25g1rvB0k8wE6D4l	https://api.spotify.com/v1/tracks/6j0eNw25g1rvB0k8wE6D4l	https://api.spotify.com/v1/audio-analysis/6j0eNw25g1rvB0k8wE6D4l	218045	4
0.583	0.408	7	-9.125	1	0.564	0.65	0	0.309	0.612	74.738	audio_features	4Pj5nvdDibE3sgflD87J2i	spotify:track:4Pj5nvdDibE3sgflD87J2i	https://api.spotify.com/v1/tracks/4Pj5nvdDibE3sgflD87J2i	https://api.spotify.com/v1/audio-analysis/4Pj5nvdDibE3sgflD87J2i	212800	3
0.931	0.772	2	-5.695	1	0.131	0.36	1.85e-4	0.082	0.316	105.005	audio_features	4u6G3AHLpiNZdpijHa07SV	spotify:track:4u6G3AHLpiNZdpijHa07SV	https://api.spotify.com/v1/tracks/4u6G3AHLpiNZdpijHa07SV	https://api.spotify.com/v1/audio-analysis/4u6G3AHLpiNZdpijHa07SV	200192	4
0.906	0.742	9	-4.855	1	0.11	0.107	0.00757	0.0743	0.618	120.018	audio_features	1cEUi8QulMj1xgrPwwGC2p	spotify:track:1cEUi8QulMj1xgrPwwGC2p	https://api.spotify.com/v1/tracks/1cEUi8QulMj1xgrPwwGC2p	https://api.spotify.com/v1/audio-analysis/1cEUi8QulMj1xgrPwwGC2p	290136	4
0.842	0.602	1	-7.103	1	0.0796	0.00638	0.112	0.103	0.372	124.213	audio_features	0fMWtRhzOoWoCo7dRHVEEa	spotify:track:0fMWtRhzOoWoCo7dRHVEEa	https://api.spotify.com/v1/tracks/0fMWtRhzOoWoCo7dRHVEEa	https://api.spotify.com/v1/audio-analysis/0fMWtRhzOoWoCo7dRHVEEa	205760	4
0.418	0.758	3	-5.914	1	0.0407	1.74e-4	0.00107	0.13	0.202	127.907	audio_features	64b4ElrrZOEp3H1Pac2lG6	spotify:track:64b4ElrrZOEp3H1Pac2lG6	https://api.spotify.com/v1/tracks/64b4ElrrZOEp3H1Pac2lG6	https://api.spotify.com/v1/audio-analysis/64b4ElrrZOEp3H1Pac2lG6	212041	4
0.86	0.662	1	-9.375	1	0.0555	0.572	0.021	0.0382	0.702	132.42	audio_features	4zcoGX2OQMMf4gs6KO9jzX	spotify:track:4zcoGX2OQMMf4gs6KO9jzX	https://api.spotify.com/v1/tracks/4zcoGX2OQMMf4gs6KO9jzX	https://api.spotify.com/v1/audio-analysis/4zcoGX2OQMMf4gs6KO9jzX	194280	4
0.521	0.876	7	-4.742	1	0.0599	3.47e-5	3.83e-5	0.222	0.393	144.058	audio_features	1kTtyCY4rcq9J6gSSho7N4	spotify:track:1kTtyCY4rcq9J6gSSho7N4	https://api.spotify.com/v1/tracks/1kTtyCY4rcq9J6gSSho7N4	https://api.spotify.com/v1/audio-analysis/1kTtyCY4rcq9J6gSSho7N4	219693	4
