danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.781	0.684	6	-9.232	0	0.0465	0.184	0.0956	0.0909	0.781	115.987	audio_features	0lXxr3fAUPdMi8ui58cwV1	spotify:track:0lXxr3fAUPdMi8ui58cwV1	https://api.spotify.com/v1/tracks/0lXxr3fAUPdMi8ui58cwV1	https://api.spotify.com/v1/audio-analysis/0lXxr3fAUPdMi8ui58cwV1	258045	4
0.565	0.69	11	-7.543	0	0.0364	5.74e-4	3.85e-6	0.167	0.528	124.039	audio_features	2HkorKzDxzxXUKx9kUuTNM	spotify:track:2HkorKzDxzxXUKx9kUuTNM	https://api.spotify.com/v1/tracks/2HkorKzDxzxXUKx9kUuTNM	https://api.spotify.com/v1/audio-analysis/2HkorKzDxzxXUKx9kUuTNM	251115	4
0.789	0.473	7	-10.816	1	0.327	0.232	0	0.247	0.791	159.926	audio_features	4rc5NQpIiPXPuMaq6W20KB	spotify:track:4rc5NQpIiPXPuMaq6W20KB	https://api.spotify.com/v1/tracks/4rc5NQpIiPXPuMaq6W20KB	https://api.spotify.com/v1/audio-analysis/4rc5NQpIiPXPuMaq6W20KB	227023	4
0.412	0.165	8	-12.525	1	0.0405	0.882	0	0.0971	0.224	166.287	audio_features	4V1Ncl3b0K9S2CXSoX4QcH	spotify:track:4V1Ncl3b0K9S2CXSoX4QcH	https://api.spotify.com/v1/tracks/4V1Ncl3b0K9S2CXSoX4QcH	https://api.spotify.com/v1/audio-analysis/4V1Ncl3b0K9S2CXSoX4QcH	264202	4
0.686	0.502	6	-8.086	1	0.0829	0.533	0.0349	0.295	0.481	170.06	audio_features	6SbBaqIldJdx7RwxsmJ4iY	spotify:track:6SbBaqIldJdx7RwxsmJ4iY	https://api.spotify.com/v1/tracks/6SbBaqIldJdx7RwxsmJ4iY	https://api.spotify.com/v1/audio-analysis/6SbBaqIldJdx7RwxsmJ4iY	257051	4
0.816	0.823	1	-3.854	1	0.0268	0.0223	5.03e-4	0.162	0.96	106.993	audio_features	5l0i4q4mgSSvAWgDesugNj	spotify:track:5l0i4q4mgSSvAWgDesugNj	https://api.spotify.com/v1/tracks/5l0i4q4mgSSvAWgDesugNj	https://api.spotify.com/v1/audio-analysis/5l0i4q4mgSSvAWgDesugNj	317565	4
0.761	0.822	2	-3.958	1	0.16	0.00195	2.99e-5	0.15	0.441	127.992	audio_features	3f97PWW5h2GnaYI9PwpyTJ	spotify:track:3f97PWW5h2GnaYI9PwpyTJ	https://api.spotify.com/v1/tracks/3f97PWW5h2GnaYI9PwpyTJ	https://api.spotify.com/v1/audio-analysis/3f97PWW5h2GnaYI9PwpyTJ	286875	4
0.483	0.569	10	-10.605	0	0.11	0.0514	0.103	0.0505	0.742	182.976	audio_features	3CDtrvdvD6JlSaKMoTKSXB	spotify:track:3CDtrvdvD6JlSaKMoTKSXB	https://api.spotify.com/v1/tracks/3CDtrvdvD6JlSaKMoTKSXB	https://api.spotify.com/v1/audio-analysis/3CDtrvdvD6JlSaKMoTKSXB	259779	3
0.568	0.846	6	-7.942	0	0.382	0.302	0	0.14	0.672	186.024	audio_features	7L7is7iKG623g69zSbrs6B	spotify:track:7L7is7iKG623g69zSbrs6B	https://api.spotify.com/v1/tracks/7L7is7iKG623g69zSbrs6B	https://api.spotify.com/v1/audio-analysis/7L7is7iKG623g69zSbrs6B	217896	4
0.477	0.883	6	-9.105	0	0.111	0.00822	1.38e-5	0.317	0.203	131.918	audio_features	4INnjML0mIyc4TyQlFxIye	spotify:track:4INnjML0mIyc4TyQlFxIye	https://api.spotify.com/v1/tracks/4INnjML0mIyc4TyQlFxIye	https://api.spotify.com/v1/audio-analysis/4INnjML0mIyc4TyQlFxIye	143180	4
